id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
QL001230346;KELURAHAN KEMANGGISAN;Jembatan Penyeberangan Orang (JPO) dan/atau halte;"rambu miring """;complete;2019-02-09;2019-02-09;0
QL001230345;KELURAHAN KEMANGGISAN;Trotoar;"rambu jalan miring """;complete;2019-02-09;2019-02-09;0
QL001230339;KELURAHAN KEMANGGISAN;Sampah;Sampah Lingkungan;complete;2019-02-09;2019-02-09;0
QL001230337;KELURAHAN KEMANGGISAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-09;2019-02-09;0
QL001230338;KELURAHAN KEMANGGISAN;Sampah;Sampah Lingkungan;complete;2019-02-09;2019-02-09;0
QL001230333;KELURAHAN KEMANGGISAN;Gangguan ketenteraman dan ketertiban;"coretan liar""";complete;2019-02-09;2019-02-09;0
QL001230336;KELURAHAN KEMANGGISAN;Gangguan ketenteraman dan ketertiban;"coretan liar """;complete;2019-02-09;2019-02-09;0
QL001230334;KELURAHAN PEGADUNGAN;Sampah;Sampah Lingkungan;complete;2019-02-09;2019-02-09;0
QL001230313;KELURAHAN KEMANGGISAN;Sampah;"puing""";complete;2019-02-09;2019-02-09;0
QL001230303;KELURAHAN KEMANGGISAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-09;2019-02-09;0
QL001230304;KELURAHAN KEMANGGISAN;Sampah;"batu dan sampah kering""";complete;2019-02-09;2019-02-09;0
QL001230284;KELURAHAN KEBON JERUK;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-09;2019-02-09;0
QL001230259;KELURAHAN PEGADUNGAN;Sampah;Sampah Lingkungan;complete;2019-02-09;2019-02-09;0
QL001230232;KELURAHAN KEBON JERUK;Sampah;Sampah Got;complete;2019-02-09;2019-02-09;0
QL001230229;KELURAHAN KEBON JERUK;Sampah;Sampah Got;complete;2019-02-09;2019-02-09;0
QL001230228;KELURAHAN KEBON JERUK;Sampah;Sampah Got;complete;2019-02-09;2019-02-09;0
QL001230175;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;2019-02-09;2019-02-09;0
